NAME_EN,NAME_KR,DESCRIPTION_EN,DESCRIPTION_KR,KEYWORDS_EN,KEYWORDS_KR,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_EN,INDUSTRY_NAME_KR
ACTION,ACTION,ACTION is designed to highlight performance and modern sports trends.,ACTION 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Guangdong Senhai Sporting Goods Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangdong Wanjun Int'l Trade Co., Ltd.","Guangdong Wanjun Int'l Trade Co., Ltd.","Guangdong Wanjun Int'l Trade Co., Ltd. provides high-value sports technology for global buyers.","Guangdong Wanjun Int'l Trade Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangdong Wanjun Int'l Trade Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangdong Yetom New Materials Co., Ltd.","Guangdong Yetom New Materials Co., Ltd.","Guangdong Yetom New Materials Co., Ltd. provides high-value sports technology for global buyers.","Guangdong Yetom New Materials Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangdong Yetom New Materials Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
CARRYON,CARRYON,CARRYON is designed to highlight performance and modern sports trends.,CARRYON 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Guangdong Yijia Optical Technology Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangxi Newision Garment Co., Ltd.","Guangxi Newision Garment Co., Ltd.","Guangxi Newision Garment Co., Ltd. introduces next-generation functionality for active lifestyles.","Guangxi Newision Garment Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangxi Newision Garment Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangzhou Bamalosha Plastic Products Co., Ltd.","Guangzhou Bamalosha Plastic Products Co., Ltd.","Guangzhou Bamalosha Plastic Products Co., Ltd. provides high-value sports technology for global buyers.","Guangzhou Bamalosha Plastic Products Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangzhou Bamalosha Plastic Products Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangzhou Bamalosha Plastic Products Co., Ltd.","Guangzhou Bamalosha Plastic Products Co., Ltd.","Guangzhou Bamalosha Plastic Products Co., Ltd. offers innovation aligned with ISPO Munich 2025.","Guangzhou Bamalosha Plastic Products Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangzhou Bamalosha Plastic Products Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Banglong,Banglong,Banglong presents advanced outdoor sports solutions.,Banglong 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Guangzhou Banglong Sports Goods Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangzhou Changrong Bags Manufacture Co., Ltd.","Guangzhou Changrong Bags Manufacture Co., Ltd.","Guangzhou Changrong Bags Manufacture Co., Ltd. presents advanced outdoor sports solutions.","Guangzhou Changrong Bags Manufacture Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangzhou Changrong Bags Manufacture Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
NAT’S,NAT’S,NAT’S introduces next-generation functionality for active lifestyles.,NAT’S 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Guangzhou Chaoyang Health & Technology Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangzhou Donghua Stationery & Sports Co., Ltd.","Guangzhou Donghua Stationery & Sports Co., Ltd.","Guangzhou Donghua Stationery & Sports Co., Ltd. introduces next-generation functionality for active lifestyles.","Guangzhou Donghua Stationery & Sports Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangzhou Donghua Stationery & Sports Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangzhou Dongxing Giant Dragon Stationery & Sporting Goods Co., Ltd.","Guangzhou Dongxing Giant Dragon Stationery & Sporting Goods Co., Ltd.","Guangzhou Dongxing Giant Dragon Stationery & Sporting Goods Co., Ltd. provides high-value sports technology for global buyers.","Guangzhou Dongxing Giant Dragon Stationery & Sporting Goods Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangzhou Dongxing Giant Dragon Stationery & Sporting Goods Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
TRIPAW,TRIPAW,TRIPAW presents advanced outdoor sports solutions.,TRIPAW 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Guangzhou FLY-O (Industrial) Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangzhou HangRui Sport Products Co., Ltd.","Guangzhou HangRui Sport Products Co., Ltd.","Guangzhou HangRui Sport Products Co., Ltd. is designed to highlight performance and modern sports trends.","Guangzhou HangRui Sport Products Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangzhou HangRui Sport Products Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangzhou Hankeen Sports Technology Co., Ltd.","Guangzhou Hankeen Sports Technology Co., Ltd.","Guangzhou Hankeen Sports Technology Co., Ltd. provides high-value sports technology for global buyers.","Guangzhou Hankeen Sports Technology Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangzhou Hankeen Sports Technology Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangzhou Huale Inflatable Products Co., Ltd.","Guangzhou Huale Inflatable Products Co., Ltd.","Guangzhou Huale Inflatable Products Co., Ltd. introduces next-generation functionality for active lifestyles.","Guangzhou Huale Inflatable Products Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangzhou Huale Inflatable Products Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangzhou Huar Garment Co., Ltd.","Guangzhou Huar Garment Co., Ltd.","Guangzhou Huar Garment Co., Ltd. provides high-value sports technology for global buyers.","Guangzhou Huar Garment Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangzhou Huar Garment Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Koodee,Koodee,Koodee offers innovation aligned with ISPO Munich 2025.,Koodee 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Guangzhou Koodee Metal Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Zhouka,Zhouka,Zhouka introduces next-generation functionality for active lifestyles.,Zhouka 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Guangzhou Marshal Clothes Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
IRICH,IRICH,IRICH is designed to highlight performance and modern sports trends.,IRICH 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Guangzhou Shengtai Sporting Goods Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
TERRY MORGAN,TERRY MORGAN,TERRY MORGAN introduces next-generation functionality for active lifestyles.,TERRY MORGAN 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Guangzhou SongWo Clothing Technology Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangzhou Tubee Sports Co., Ltd.","Guangzhou Tubee Sports Co., Ltd.","Guangzhou Tubee Sports Co., Ltd. introduces next-generation functionality for active lifestyles.","Guangzhou Tubee Sports Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangzhou Tubee Sports Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
VEST,VEST,VEST provides high-value sports technology for global buyers.,VEST 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Guangzhou Xinrui Protective Equipment Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Guangzhou Yuepai Sportswear Co., Ltd.","Guangzhou Yuepai Sportswear Co., Ltd.","Guangzhou Yuepai Sportswear Co., Ltd. offers innovation aligned with ISPO Munich 2025.","Guangzhou Yuepai Sportswear Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Guangzhou Yuepai Sportswear Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
GISCO,GISCO,GISCO introduces next-generation functionality for active lifestyles.,GISCO 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/media/158/1/F_1124_6/F_1124_6_2_N_ELM_17625_2_1.jpg,GUJRAL INTERNATIONAL,Sports / Outdoor,스포츠 / 아웃도어
Gustavo Gusto GmbH & Co. KG,Gustavo Gusto GmbH & Co. KG,Gustavo Gusto GmbH & Co. KG introduces next-generation functionality for active lifestyles.,Gustavo Gusto GmbH & Co. KG 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Gustavo Gusto GmbH & Co. KG,Sports / Outdoor,스포츠 / 아웃도어
Gyeonggi Business & Science Accelerator,Gyeonggi Business & Science Accelerator,Gyeonggi Business & Science Accelerator presents advanced outdoor sports solutions.,Gyeonggi Business & Science Accelerator 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Gyeonggi Business & Science Accelerator,Sports / Outdoor,스포츠 / 아웃도어
GZ Killer Whale Int'l Trading Ltd.,GZ Killer Whale Int'l Trading Ltd.,GZ Killer Whale Int'l Trading Ltd. offers innovation aligned with ISPO Munich 2025.,GZ Killer Whale Int'l Trading Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,GZ Killer Whale Int'l Trading Ltd.,Sports / Outdoor,스포츠 / 아웃도어
"Haining Anka Textile Co., Ltd.","Haining Anka Textile Co., Ltd.","Haining Anka Textile Co., Ltd. is designed to highlight performance and modern sports trends.","Haining Anka Textile Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Haining Anka Textile Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
MacGyver,MacGyver,MacGyver is designed to highlight performance and modern sports trends.,MacGyver 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Haining Deppo Textiles Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Haining Fulong Knitting Co., Ltd.","Haining Fulong Knitting Co., Ltd.","Haining Fulong Knitting Co., Ltd. provides high-value sports technology for global buyers.","Haining Fulong Knitting Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Haining Fulong Knitting Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Haining Sinoline Ltd.,Haining Sinoline Ltd.,Haining Sinoline Ltd. introduces next-generation functionality for active lifestyles.,Haining Sinoline Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Haining Sinoline Ltd.,Sports / Outdoor,스포츠 / 아웃도어
"Haining Suntex New Material Co., Ltd.","Haining Suntex New Material Co., Ltd.","Haining Suntex New Material Co., Ltd. presents advanced outdoor sports solutions.","Haining Suntex New Material Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Haining Suntex New Material Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Haining Winners Trading Co., Ltd.","Haining Winners Trading Co., Ltd.","Haining Winners Trading Co., Ltd. introduces next-generation functionality for active lifestyles.","Haining Winners Trading Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Haining Winners Trading Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
libenli,libenli,libenli is designed to highlight performance and modern sports trends.,libenli 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Haiyang Libenli Body-building Apparatus Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Hakers Enterprise Co., Ltd.","Hakers Enterprise Co., Ltd.","Hakers Enterprise Co., Ltd. presents advanced outdoor sports solutions.","Hakers Enterprise Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Hakers Enterprise Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Handballcampus München gGmbH,Handballcampus München gGmbH,Handballcampus München gGmbH offers innovation aligned with ISPO Munich 2025.,Handballcampus München gGmbH 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Handballcampus München gGmbH,Sports / Outdoor,스포츠 / 아웃도어
"Hangzhou Dinghui Fashion Co., Ltd.","Hangzhou Dinghui Fashion Co., Ltd.","Hangzhou Dinghui Fashion Co., Ltd. introduces next-generation functionality for active lifestyles.","Hangzhou Dinghui Fashion Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Hangzhou Dinghui Fashion Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Tittallon,Tittallon,Tittallon introduces next-generation functionality for active lifestyles.,Tittallon 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Hangzhou Fashion-Power Industrial & Trading Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Hangzhou Great Mountains Trading Co., Ltd.","Hangzhou Great Mountains Trading Co., Ltd.","Hangzhou Great Mountains Trading Co., Ltd. introduces next-generation functionality for active lifestyles.","Hangzhou Great Mountains Trading Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Hangzhou Great Mountains Trading Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Hangzhou Image Garments Co., Ltd.","Hangzhou Image Garments Co., Ltd.","Hangzhou Image Garments Co., Ltd. presents advanced outdoor sports solutions.","Hangzhou Image Garments Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Hangzhou Image Garments Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
ENJOY OUTDOOR,ENJOY OUTDOOR,ENJOY OUTDOOR introduces next-generation functionality for active lifestyles.,ENJOY OUTDOOR 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Hangzhou Junmei Leisure Goods Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Hangzhou Leading Textile Technology Co., Ltd.","Hangzhou Leading Textile Technology Co., Ltd.","Hangzhou Leading Textile Technology Co., Ltd. is designed to highlight performance and modern sports trends.","Hangzhou Leading Textile Technology Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Hangzhou Leading Textile Technology Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
REMAGY,REMAGY,REMAGY offers innovation aligned with ISPO Munich 2025.,REMAGY 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Hangzhou Remagy Trading Co.,Sports / Outdoor,스포츠 / 아웃도어
TOPOW,TOPOW,TOPOW is designed to highlight performance and modern sports trends.,TOPOW 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Hangzhou TOPOW Sportswear Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
WD FASHION,WD FASHION,WD FASHION introduces next-generation functionality for active lifestyles.,WD FASHION 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Hangzhou Xiaoran Imp. & Exp. Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
YITEX,YITEX,YITEX presents advanced outdoor sports solutions.,YITEX 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Hangzhou Yitex Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Hangzhou Zhongzhi Industry Co., Ltd.","Hangzhou Zhongzhi Industry Co., Ltd.","Hangzhou Zhongzhi Industry Co., Ltd. introduces next-generation functionality for active lifestyles.","Hangzhou Zhongzhi Industry Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Hangzhou Zhongzhi Industry Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Hansc & co.,Hansc & co.,Hansc & co. presents advanced outdoor sports solutions.,Hansc & co. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Hansc & Co.,Sports / Outdoor,스포츠 / 아웃도어
HAWK,HAWK,HAWK is designed to highlight performance and modern sports trends.,HAWK 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Hans Raj Mahajan Worldwide,Sports / Outdoor,스포츠 / 아웃도어
Hansson International GmbH,Hansson International GmbH,Hansson International GmbH provides high-value sports technology for global buyers.,Hansson International GmbH 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Hansson International GmbH,Sports / Outdoor,스포츠 / 아웃도어
Hanway Garments & Accessories Ltd.,Hanway Garments & Accessories Ltd.,Hanway Garments & Accessories Ltd. is designed to highlight performance and modern sports trends.,Hanway Garments & Accessories Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Hanway Garments & Accessories Ltd.,Sports / Outdoor,스포츠 / 아웃도어
Harada Corp.,Harada Corp.,Harada Corp. introduces next-generation functionality for active lifestyles.,Harada Corp. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Harada Corp.,Sports / Outdoor,스포츠 / 아웃도어
"Harbin Langchen Trade & Technology Industry Co., Ltd.","Harbin Langchen Trade & Technology Industry Co., Ltd.","Harbin Langchen Trade & Technology Industry Co., Ltd. provides high-value sports technology for global buyers.","Harbin Langchen Trade & Technology Industry Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Harbin Langchen Trade & Technology Industry Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Hathor Int'l Co., Ltd.","Hathor Int'l Co., Ltd.","Hathor Int'l Co., Ltd. offers innovation aligned with ISPO Munich 2025.","Hathor Int'l Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Hathor Int'l Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
heat it®,heat it®,heat it® offers innovation aligned with ISPO Munich 2025.,heat it® 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,heat it®- Kamedi GmbH,Sports / Outdoor,스포츠 / 아웃도어
Heat Transfers Company,Heat Transfers Company,Heat Transfers Company provides high-value sports technology for global buyers.,Heat Transfers Company 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Heat Transfers Company,Sports / Outdoor,스포츠 / 아웃도어
"Hebei A&Z Int'l Co., Ltd.","Hebei A&Z Int'l Co., Ltd.","Hebei A&Z Int'l Co., Ltd. introduces next-generation functionality for active lifestyles.","Hebei A&Z Int'l Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Hebei A&Z Int'l Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Hebei Dashuai Outdoor Products Co., Ltd.","Hebei Dashuai Outdoor Products Co., Ltd.","Hebei Dashuai Outdoor Products Co., Ltd. provides high-value sports technology for global buyers.","Hebei Dashuai Outdoor Products Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Hebei Dashuai Outdoor Products Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Hebei Share Int'l Trade Co., Ltd.","Hebei Share Int'l Trade Co., Ltd.","Hebei Share Int'l Trade Co., Ltd. is designed to highlight performance and modern sports trends.","Hebei Share Int'l Trade Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Hebei Share Int'l Trade Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
THE SOFTER CARRY,THE SOFTER CARRY,THE SOFTER CARRY presents advanced outdoor sports solutions.,THE SOFTER CARRY 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Hebei Yuanmeng Clothing Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Hefei Kingsport Textile Co., Ltd.","Hefei Kingsport Textile Co., Ltd.","Hefei Kingsport Textile Co., Ltd. introduces next-generation functionality for active lifestyles.","Hefei Kingsport Textile Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Hefei Kingsport Textile Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
"Hefei Tuotu Network Technology Co., Ltd.","Hefei Tuotu Network Technology Co., Ltd.","Hefei Tuotu Network Technology Co., Ltd. introduces next-generation functionality for active lifestyles.","Hefei Tuotu Network Technology Co., Ltd. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.",,,,"Hefei Tuotu Network Technology Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
HeiQ Mint™,HeiQ Mint™,HeiQ Mint™ presents advanced outdoor sports solutions.,HeiQ Mint™ 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/media/158/1/F_1124_6/F_1124_6_4_N_ELM_5660_4_1.jpg,HeiQ Materials AG,Sports / Outdoor,스포츠 / 아웃도어
Hejduk Sport,Hejduk Sport,Hejduk Sport is designed to highlight performance and modern sports trends.,Hejduk Sport 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Hejduk Sport s.r.o.,Sports / Outdoor,스포츠 / 아웃도어
Helicon Enterprises,Helicon Enterprises,Helicon Enterprises provides high-value sports technology for global buyers.,Helicon Enterprises 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Helicon Enterprises,Sports / Outdoor,스포츠 / 아웃도어
Heliotextil,Heliotextil,Heliotextil provides high-value sports technology for global buyers.,Heliotextil 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Heliotextil,Sports / Outdoor,스포츠 / 아웃도어
MAICCA,MAICCA,MAICCA provides high-value sports technology for global buyers.,MAICCA 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Henan Yinsuo Sports Goods Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Henglun,Henglun,Henglun is designed to highlight performance and modern sports trends.,Henglun 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Henglun Textile (Viet Nam) Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
HENGSHA,HENGSHA,HENGSHA provides high-value sports technology for global buyers.,HENGSHA 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"Hengsha Warp Knitting Weaving Dress Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
Heyone Corp.,Heyone Corp.,Heyone Corp. is designed to highlight performance and modern sports trends.,Heyone Corp. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Heyone Corp.,Sports / Outdoor,스포츠 / 아웃도어
